route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q84,JA_F0-Weekday-140000_MISC_572,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q17,JA_F0-Weekday-140100_MISC_554,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q5,JA_F0-Weekday-140200_MISC_562,JA_F0-Weekday,GREEN ACRES via MERRICK,0,Q050036,0.0,0
Q3,JA_F0-Weekday-140400_MISC_573,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q17,JA_F0-Weekday-140500_MISC_565,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q85,JA_F0-Weekday-140600_Q85_21,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q4,JA_F0-Weekday-140800_MISC_567,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q4,JA_F0-Weekday-140800_Q4_12,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q5,JA_F0-Weekday-140900_MISC_563,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q5,JA_F0-Weekday-141300_MISC_564,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q85,JA_F0-Weekday-141500_MISC_568,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q84,JA_F0-Weekday-141500_Q84_5,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q17,JA_F0-Weekday-141600_Q17_26,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q85,JA_F0-Weekday-141700_MISC_542,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
Q3,JA_F0-Weekday-142000_MISC_555,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q5,JA_F0-Weekday-142000_MISC_566,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050038,0.0,0
Q84,JA_F0-Weekday-142000_MISC_569,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q30,JA_F0-Weekday-142200_Q30_15,JA_F0-Weekday,JAMAICA LIRR,1,Q300304,0.0,0
Q4,JA_F0-Weekday-142300_MISC_560,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q4,JA_F0-Weekday-142300_MISC_574,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q3,JA_F0-Weekday-142400_MISC_575,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q17,JA_F0-Weekday-142500_Q17_25,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q5,JA_F0-Weekday-142600_Q5_16,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q30,JA_F0-Weekday-143000_MISC_577,JA_F0-Weekday,LITTLE NECK LITTLE NECK PKY,0,Q300027,0.0,0
Q17,JA_F0-Weekday-143200_Q17_27,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q85,JA_F0-Weekday-143300_MISC_556,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850287,0.0,0
Q85,JA_F0-Weekday-143300_MISC_570,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q84,JA_F0-Weekday-143500_MISC_572,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q4,JA_F0-Weekday-143800_MISC_571,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q4,JA_F0-Weekday-143800_Q4_12,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q5,JA_F0-Weekday-143900_Q5_15,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q3,JA_F0-Weekday-144000_MISC_553,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q84,JA_F0-Weekday-144000_Q84_5,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q85,JA_F0-Weekday-144800_MISC_561,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
Q5,JA_F0-Weekday-144800_MISC_563,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
