route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
SIM1C,YU_F0-Saturday-112000_SIM1_30,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S59,YU_F0-Saturday-112500_MISC_140,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
S61,YU_F0-Saturday-112500_MISC_177,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S44,YU_F0-Saturday-112500_S4494_14,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S62,YU_F0-Saturday-112500_S6292_16,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
S79+,YU_F0-Saturday-112700_SBS79_31,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
SIM1C,YU_F0-Saturday-113000_MISC_168,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S59,YU_F0-Saturday-113000_S59_14,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Saturday-113000_SBS79_37,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S57,YU_F0-Saturday-113500_MISC_173,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
S44,YU_F0-Saturday-113500_S4494_19,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S79+,YU_F0-Saturday-113900_SBS79_34,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
SIM1C,YU_F0-Saturday-114000_MISC_175,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S44,YU_F0-Saturday-114000_S4494_8,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S57,YU_F0-Saturday-114000_S57_7,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
S61,YU_F0-Saturday-114000_S6191_12,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S61,YU_F0-Saturday-114000_S6191_14,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S62,YU_F0-Saturday-114000_S6292_13,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
S79+,YU_F0-Saturday-114000_SBS79_38,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S59,YU_F0-Saturday-114500_S59_9,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
SIM1C,YU_F0-Saturday-114500_SIM1_27,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S79+,YU_F0-Saturday-115000_MISC_174,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S44,YU_F0-Saturday-115000_S4494_13,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S59,YU_F0-Saturday-115000_S59_10,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Saturday-115100_SBS79_35,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S62,YU_F0-Saturday-115500_S6292_18,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
SIM1C,YU_F0-Saturday-116000_MISC_167,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S44,YU_F0-Saturday-116000_S4494_16,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S79+,YU_F0-Saturday-116000_SBS79_29,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
SIM1C,YU_F0-Saturday-116000_SIM1_31,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S79+,YU_F0-Saturday-116300_SBS79_36,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S44,YU_F0-Saturday-116500_S4494_20,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S57,YU_F0-Saturday-116500_S57_5,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
S59,YU_F0-Saturday-116500_S59_13,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
S57,YU_F0-Saturday-117000_S57_8,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
S59,YU_F0-Saturday-117000_S59_15,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S61,YU_F0-Saturday-117000_S6191_13,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S61,YU_F0-Saturday-117000_S6191_15,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S62,YU_F0-Saturday-117000_S6292_16,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
S79+,YU_F0-Saturday-117000_SBS79_32,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S79+,YU_F0-Saturday-117500_SBS79_26,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
SIM1C,YU_F0-Saturday-117500_SIM1_18,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S44,YU_F0-Saturday-118000_S4494_14,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S44,YU_F0-Saturday-118000_S4494_17,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S79+,YU_F0-Saturday-118000_SBS79_30,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
SIM1C,YU_F0-Saturday-118000_SIM1_20,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S59,YU_F0-Saturday-118500_S59_11,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
S62,YU_F0-Saturday-118500_S6292_19,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
S79+,YU_F0-Saturday-118700_SBS79_27,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S59,YU_F0-Saturday-119000_MISC_140,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Saturday-119000_SBS79_33,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
SIM1C,YU_F0-Saturday-119000_SIM1_19,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S57,YU_F0-Saturday-119500_S57_7,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
S79+,YU_F0-Saturday-119900_SBS79_37,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S57,YU_F0-Saturday-120000_MISC_173,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
SIM1C,YU_F0-Saturday-120000_MISC_176,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S44,YU_F0-Saturday-120000_S4494_15,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S44,YU_F0-Saturday-120000_S4494_19,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S61,YU_F0-Saturday-120000_S6191_12,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S61,YU_F0-Saturday-120000_S6191_14,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S62,YU_F0-Saturday-120000_S6292_18,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
S79+,YU_F0-Saturday-120000_SBS79_31,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S59,YU_F0-Saturday-120500_S59_10,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
SIM1C,YU_F0-Saturday-120500_SIM1_29,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S59,YU_F0-Saturday-121000_S59_9,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Saturday-121100_MISC_174,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Saturday-121200_SBS79_34,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S62,YU_F0-Saturday-121500_MISC_182,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
SIM1C,YU_F0-Saturday-122000_MISC_177,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S44,YU_F0-Saturday-122000_S4494_13,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S44,YU_F0-Saturday-122000_S4494_16,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
SIM1C,YU_F0-Saturday-122000_SIM1_30,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S79+,YU_F0-Saturday-122300_SBS79_29,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Saturday-122400_SBS79_35,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S57,YU_F0-Saturday-122500_S57_8,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
S59,YU_F0-Saturday-122500_S59_15,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
S57,YU_F0-Saturday-123000_S57_5,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
S59,YU_F0-Saturday-123000_S59_12,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S61,YU_F0-Saturday-123000_S6191_13,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S61,YU_F0-Saturday-123000_S6191_15,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S62,YU_F0-Saturday-123000_S6292_19,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
SIM1C,YU_F0-Saturday-123500_MISC_175,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S79+,YU_F0-Saturday-123500_SBS79_28,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Saturday-123600_SBS79_36,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S44,YU_F0-Saturday-124000_S4494_17,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S44,YU_F0-Saturday-124000_S4494_20,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
SIM1C,YU_F0-Saturday-124000_SIM1_21,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S59,YU_F0-Saturday-124500_S59_14,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
S62,YU_F0-Saturday-124500_S6292_23,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
S79+,YU_F0-Saturday-124800_SBS79_26,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S59,YU_F0-Saturday-125000_S59_11,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Saturday-125000_SBS79_30,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S57,YU_F0-Saturday-125500_MISC_173,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
SIM1C,YU_F0-Saturday-125500_SIM1_31,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S62,YU_F0-Saturday-126000_MISC_182,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
S44,YU_F0-Saturday-126000_S4494_14,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S44,YU_F0-Saturday-126000_S4494_18,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S57,YU_F0-Saturday-126000_S57_7,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
S61,YU_F0-Saturday-126000_S6191_14,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S61,YU_F0-Saturday-126000_S6191_16,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S79+,YU_F0-Saturday-126000_SBS79_27,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
