"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"M8","2,377","2,107","-11%","76%","86%","5","2.2","6","2","22","556","3","6","4","Manhattan","750","","","","","","","","","",""
"M9","4,131","5,333","29%","52%","74%","5","4.8","7","3","29","897","15","5","8","Manhattan","750","","","","","","","","","",""
"M10","8,283","6,874","-17%","70%","81%","6","5.2","8","4","47","599","4","20","5","Manhattan","750","","","","","","","","","",""
"M11","12,331","10,152","-18%","52%","73%","6","7.9","7","3","60","703","6","2","1","Manhattan","750","","","","","","","","","",""
"M12","0","515","","58%","81%","6","3.5","3","2","22","876","7","2","6","Manhattan","750","","","","","","","","","",""
"M14A","35,997","30,558","-15%","60%","77%","5","3.9","9","5","30","728","6","10","17","Manhattan","750","","","","","","","","","",""
"M14D","35,997","30,558","-15%","63%","76%","5","3.4","20","9","27","698","7","9","16","Manhattan","750","","","","","","","","","",""
"M15","55,859","44,797","-20%","50%","73%","5","8.7","8","6","64","732","6","8","6","Manhattan","750","","","","","","","","","",""
"M15 SBS","55,859","44,797","-20%","34%","69%","7","8.7","21","6","22","2,252","6","3","5","Manhattan","750","","","","","","","","","",""
"M20","4,113","2,446","-41%","40%","69%","6","6.4","4","4","43","809","14","27","16","Manhattan","750","","","","","","","","","",""
"M21","1,254","1,402","12%","64%","81%","5","2.4","5","3","21","642","6","5","6","Manhattan","750","","","","","","","","","",""
"M22","3,559","2,732","-23%","64%","79%","5","2.8","8","3","22","714","14","6","12","Manhattan","750","","","","","","","","","",""
"M23 SBS","15,124","12,308","-19%","54%","84%","","2.6","8","5","16","918","5","5","8","Manhattan","750","","","","","","","","","",""
"M31","11,529","9,995","-13%","59%","79%","4","3.9","8","6","29","730","4","2","5","Manhattan","750","","","","","","","","","",""
"M34 SBS","18,181","14,901","-18%","70%","85%","5","2.1","7","3","14","884","7","6","16","Manhattan","750","","","","","","","","","",""
"M34A SBS","18,181","14,901","-18%","66%","84%","5","2.5","7","3","15","974","2","6","15","Manhattan","750","","","","","","","","","",""
"M35","1,817","1,038","-43%","50%","77%","11","3.0","6","4","12","1,485","12","1","3","Manhattan","750","","","","","","","","","",""
"M42","15,090","10,596","-30%","57%","79%","4","2.1","17","4","16","727","4","8","19","Manhattan","750","","","","","","","","","",""
"M50","3,562","2,785","-22%","68%","85%","5","2.3","4","3","16","800","1","4","11","Manhattan","750","","","","","","","","","",""
"M55","14,491","10,063","-31%","","","","4.5","4","4","34","735","3","18","17","Manhattan","750","","","","","","","","","",""
"M57","7,601","6,065","-20%","53%","74%","4","3.0","7","4","22","763","5","3","8","Manhattan","750","","","","","","","","","",""
"M60 SBS","16,147","16,751","4%","38%","69%","9","9.4","8","5","23","2,262","10","5","12","Manhattan","750","","","","","","","","","",""
"M66","12,835","11,195","-13%","63%","79%","4","2.0","13","5","13","865","3","3","2","Manhattan","750","","","","","","","","","",""
"M72","6,711","5,675","-15%","71%","83%","5","3.0","7","3","19","876","11","5","6","Manhattan","750","","","","","","","","","",""
"M79 SBS","17,391","13,892","-20%","","","","2.2","14","6","14","907","4","2","3","Manhattan","750","","","","","","","","","",""
"M86 SBS","25,300","24,746","-2%","75%","89%","5","2.4","15","7","15","922","4","6","7","Manhattan","750","","","","","","","","","",""
"M96","16,136","15,034","-7%","68%","83%","5","2.0","14","6","12","1,015","9","7","7","Manhattan","750","","","","","","","","","",""
"M98","2,141","1,863","-13%","64%","77%","8","7.3","7","0","18","2,340","7","8","4","Manhattan","750","","","","","","","","","",""
"M100","16,261","17,006","5%","63%","78%","5","7.3","9","4","56","711","8","12","10","Manhattan","750","","","","","","","","","",""
"M101","29,635","24,275","-18%","50%","71%","6","11.9","10","6","79","808","8","25","17","Manhattan","750","","","","","","","","","",""
"M102","15,917","12,292","-23%","45%","68%","5","7.7","7","5","60","697","8","26","12","Manhattan","750","","","","","","","","","",""
"M103","12,911","9,786","-24%","42%","68%","5","7.8","7","4","56","760","3","23","13","Manhattan","750","","","","","","","","","",""
"M104","12,626","8,223","-35%","54%","75%","5","5.2","6","5","41","689","6","27","14","Manhattan","750","","","","","","","","","",""
"M106","1,777","2,476","39%","67%","83%","5","2.5","3","0","17","837","10","3","5","Manhattan","750","","","","","","","","","",""
"M116","8,965","10,296","15%","74%","84%","5","2.6","9","4","21","693","4","5","5","Manhattan","750","","","","","","","","","",""
"Q1","4,731","4,381","-7%","75%","86%","9","5.9","8","4","43","739","3","2","1","Queens","750","","","","","","","","","",""
"Q2","6,077","5,722","-6%","72%","82%","8","4.6","10","5","34","745","6","2","1","Queens","750","","","","","","","","","",""
"Q3","9,712","9,684","0%","71%","81%","9","8.5","10","6","49","934","8","2","1","Queens","750","","","","","","","","","",""
"Q4","10,568","9,242","-13%","66%","80%","8","6.6","13","6","38","950","3","2","2","Queens","750","","","","","","","","","",""
"Q5","12,704","11,728","-8%","66%","80%","9","8.6","14","8","51","921","4","2","2","Queens","750","","","","","","","","","",""
"Q06*","11,978","11,334","-5%","55%","76%","7","6.2","23","8","34","998","6","1","2","Queens","750","","","","","","","","","",""
"Q07*","5,291","5,341","1%","54%","76%","8","6.9","7","3","46","807","10","5","2","Queens","750","","","","","","","","","",""
"Q08*","9,791","10,696","9%","58%","75%","7","8.4","9","4","48","946","11","4","4","Queens","750","","","","","","","","","",""
"Q09*","5,083","5,050","-1%","59%","77%","6","3.3","10","3","22","856","6","1","2","Queens","750","","","","","","","","","",""
"Q10*","24,244","23,363","-4%","65%","81%","8","11.2","17","7","45","1,362","18","3","3","Queens","750","","","","","","","","","",""
"Q11*","7,332","5,004","-32%","65%","79%","9","8.4","7","3","49","927","12","5","4","Queens","750","","","","","","","","","",""
"Q12","10,828","11,099","3%","76%","86%","8","5.8","13","12","44","724","2","1","1","Queens","750","","","","","","","","","",""
"Q13","9,111","8,516","-7%","71%","85%","9","6.3","9","6","47","723","6","1","1","Queens","750","","","","","","","","","",""
"Q15","5,615","5,876","5%","80%","91%","9","4.4","6","3","34","721","6","1","1","Queens","750","","","","","","","","","",""
"Q15A","5,615","5,876","5%","81%","90%","9","4.7","5","3","36","726","8","1","1","Queens","750","","","","","","","","","",""
"Q16","3,982","4,054","2%","78%","88%","10","6.2","10","3","46","737","7","1","1","Queens","750","","","","","","","","","",""
"Q17","19,105","17,224","-10%","60%","78%","8","8.7","15","13","51","933","5","4","2","Queens","750","","","","","","","","","",""
"Q18*","8,337","8,780","5%","69%","80%","6","5.6","8","3","46","665","15","4","5","Queens","750","","","","","","","","","",""
"Q19*","2,365","3,467","47%","55%","76%","9","6.3","4","1","34","1,001","9","2","3","Queens","750","","","","","","","","","",""
"Q20A","13,150","14,192","8%","75%","87%","7","9.0","5","3","61","797","12","8","4","Queens","750","","","","","","","","","",""
"Q20B","13,150","14,192","8%","77%","87%","7","9.2","5","2","64","779","12","8","4","Queens","750","","","","","","","","","",""
