ID,Make,Model,Year,Depot
4195,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4196,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4197,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4198,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4199,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4200,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4201,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4202,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4203,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4204,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4205,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4206,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4207,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4208,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4209,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4210,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4211,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4212,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4213,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4214,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4215,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4216,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4217,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4218,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4219,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4469,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4470,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4471,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4472,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4473,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4474,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
