route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B46,FB_F0-Saturday-132400_B46_47,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B44+,FB_F0-Saturday-132500_SB44_529,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46,FB_F0-Saturday-132700_B46_34,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B41,FB_F0-Saturday-132800_B41_59,FB_F0-Saturday,EMPIRE BL,0,B410398
B46+,FB_F0-Saturday-132800_SBS46_628,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B2,FB_F0-Saturday-132900_B2_4,FB_F0-Saturday,KINGS PLAZA,0,B20053
B46+,FB_F0-Saturday-132900_SBS46_625,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-133000_B31_106,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-133000_B31_107,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B31,FB_F0-Saturday-133000_B31_108,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B44,FB_F0-Saturday-133000_B44_30,FB_F0-Saturday,AVENUE U via NOSTRAND,1,B440380
B44,FB_F0-Saturday-133000_B44_33,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440373
B49,FB_F0-Saturday-133200_B49_20,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B41,FB_F0-Saturday-133400_B41_60,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B46,FB_F0-Saturday-133600_B46_38,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B41,FB_F0-Saturday-133700_B41_66,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410395
B46,FB_F0-Saturday-133700_B46_44,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B44+,FB_F0-Saturday-133700_SB44_527,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46+,FB_F0-Saturday-133900_SBS46_626,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B44,FB_F0-Saturday-134000_B44_31,FB_F0-Saturday,EMMONS AV,1,B440381
B49,FB_F0-Saturday-134000_B49_22,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B46+,FB_F0-Saturday-134000_SBS46_629,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44,FB_F0-Saturday-134200_B44_34,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440373
B41,FB_F0-Saturday-134600_B41_68,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
B46,FB_F0-Saturday-134700_B46_42,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B46,FB_F0-Saturday-134800_B46_48,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
